review_text,sentiments
"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",1
They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,0
Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,0
"Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledgeREAD MORE",1
Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,0
Good quality product. Delivered on time.READ MORE,1
BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,1
Good quality original shuttles.READ MORE,1
AwesomeREAD MORE,0
nice original productsREAD MORE,1
This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,1
Best in class....READ MORE,1
it's genuine and price is less than our near by shopREAD MORE,0
"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1
really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,1
NycREAD MORE,0
I usually buy them the same model but this did not last even for a dayREAD MORE,0
"Poor quality, not originalREAD MORE",0
Delivered on expected timeREAD MORE,0
nice and original productREAD MORE,1
Very nice and Good price compare then local sports.READ MORE,1
It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,1
superbREAD MORE,0
"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",0
Genuine product at very reasonable price....got for Rs 630/-READ MORE,0
Good sealed Original Yonex ShuttlesREAD MORE,1
They are not as expected...the head  portion break very soon...defective pieces..READ MORE,0
